post.date	post.location	post.dept	post.trans	post.views	post.url	city	region	bribe.paid
196	October 23 2015	Vadakara, Kerala	Municipal Services	Birth Certificate	131 	<pointer: 0x000000002979a470>	Vadakara	Kerala	1400
197	October 23 2015	Mumbai, Maharashtra	Airports	Customs	205 	<pointer: 0x00000000298cd3f0>	Mumbai	Maharashtra	NA
198	October 22 2015	Chennai, Tamil Nadu	Railways	Transport of Goods	234 	<pointer: 0x0000000029a3fef0>	Chennai	Nadu	1000
199	October 22 2015	Gurgaon, Haryana	Police	Filing FIR	188 	<pointer: 0x0000000029b84de0>	Gurgaon	Haryana	200
200	October 22 2015	Kota, Rajasthan	Others	Others	180 	<pointer: 0x0000000029cdbfe0>	Kota	Rajasthan	100
201	October 22 2015	Kolkata, West Bengal	Police	Filing FIR	210 	<pointer: 0x0000000029e16a70>	Kolkata	Bengal	500
202	October 22 2015	New Delhi, Delhi	Others	Others	254 	<pointer: 0x0000000029f5e1f0>	New	Delhi	76
203	October 22 2015	Ponnur, Andhra Pradesh	Others	Others	217 	<pointer: 0x000000002a0919e0>	Ponnur	Pradesh	42
204	October 22 2015	Jaunpur, Uttar Pradesh	Municipal Services	Birth Certificate	170 	<pointer: 0x000000002a20b170>	Jaunpur	Pradesh	10
205	October 22 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	175 	<pointer: 0x000000002a36bd70>	Abhayapuri	Assam	21
206	October 22 2015	Bhagalpur, Bihar	Municipal Services	Birth Certificate	163 	<pointer: 0x000000002a503470>	Bhagalpur	Bihar	122
207	October 22 2015	Abohar, Punjab	Transport	Duplicate Registration Certificate	224 	<pointer: 0x000000002a5e93f0>	Abohar	Punjab	500
208	October 22 2015	Narasaraopet, Andhra Pradesh	Municipal Services	Birth Certificate	151 	<pointer: 0x000000002a714270>	Narasaraopet	Pradesh	3000
209	October 22 2015	Chennai, Tamil Nadu	Municipal Services	Birth Certificate	177 	<pointer: 0x000000002a8a3df0>	Chennai	Nadu	1000
210	October 22 2015	Adari, Uttar Pradesh	Income Tax	New PAN Card	193 	<pointer: 0x000000002a9abee0>	Adari	Pradesh	99
211	October 21 2015	Abhayapuri, Assam	Commercial Tax, Sales Tax, VAT	C Form	209 	<pointer: 0x000000002aae77f0>	Abhayapuri	Assam	22
212	October 21 2015	Bidar, Karnataka	Transport	New Domestic Driving License	227 	<pointer: 0x000000002ad31ae0>	Bidar	Karnataka	3000
213	October 21 2015	Amarpur, Bihar	Income Tax	New PAN Card	172 	<pointer: 0x000000002ae251e0>	Amarpur	Bihar	22
214	October 21 2015	Chandigarh, Chandigarh	Municipal Services	Birth Certificate	167 	<pointer: 0x000000002af574e0>	Chandigarh	Chandigarh	300
215	October 21 2015	Abhayapuri, Assam	Stamps and Registration	Registration of Flat or Apartment	233 	<pointer: 0x000000002b0b46e0>	Abhayapuri	Assam	8
216	October 21 2015	Kurnool, Andhra Pradesh	Others	Others	190 	<pointer: 0x000000002b1d1bf0>	Kurnool	Pradesh	5
217	October 21 2015	Jaipur, Rajasthan	Others	Others	170 	<pointer: 0x000000002b37b9e0>	Jaipur	Rajasthan	100
218	October 21 2015	Agra, Uttar Pradesh	Police	Police Harassment	210 	<pointer: 0x000000002b466df0>	Agra	Pradesh	876776
219	October 21 2015	Aligarh, Uttar Pradesh	Others	Others	148 	<pointer: 0x000000002b5cede0>	Aligarh	Pradesh	5000
220	October 21 2015	Adityapur, Jharkhand	Transport	New Domestic Driving License	172 	<pointer: 0x000000002b71d5f0>	Adityapur	Jharkhand	123
221	October 21 2015	Abohar, Punjab	Commercial Tax, Sales Tax, VAT	C Form	195 	<pointer: 0x000000002b868ae0>	Abohar	Punjab	100
222	October 21 2015	Imphal, Manipur	Police	Filing FIR	199 	<pointer: 0x000000002b9aa1e0>	Imphal	Manipur	100
223	October 21 2015	Achhnera, Uttar Pradesh	Commercial Tax, Sales Tax, VAT	C Form	169 	<pointer: 0x000000002bb708e0>	Achhnera	Pradesh	1000
224	October 21 2015	Pratapgarh, Tripura	Municipal Services	Birth Certificate	132 	<pointer: 0x000000002bc80660>	Pratapgarh	Tripura	200
225	October 21 2015	Ahmedabad, Gujarat	Police	Traffic Violations	150 	<pointer: 0x000000002bde01f0>	Ahmedabad	Gujarat	1000
226	October 21 2015	Chennai, Tamil Nadu	Municipal Services	Birth Certificate	127 	<pointer: 0x000000002beac760>	Chennai	Nadu	700
227	October 21 2015	Dhanbad, Jharkhand	Municipal Services	Birth Certificate	160 	<pointer: 0x000000002c074fe0>	Dhanbad	Jharkhand	30000
228	October 21 2015	Durgapur, West Bengal	Municipal Services	Birth Certificate	142 	<pointer: 0x000000002c17de60>	Durgapur	Bengal	100
229	October 21 2015	Basti, Uttar Pradesh	Customs, Excise and Service Tax	Customs Check and Clearance	162 	<pointer: 0x000000002c2b3b70>	Basti	Pradesh	100
230	October 20 2015	Hyderabad, Telangana	Others	Others	158 	<pointer: 0x000000002c416370>	Hyderabad	Telangana	9000
231	October 20 2015	Mumbai, Maharashtra	Municipal Services	Birth Certificate	148 	<pointer: 0x000000002c59a070>	Mumbai	Maharashtra	5000
232	October 20 2015	, 			194 	<pointer: 0x000000002c6d50e0>			44
233	October 20 2015	Bina, Madhya Pradesh	Railways	Transport of Goods	183 	<pointer: 0x000000002c823260>	Bina	Pradesh	100
234	October 20 2015	Bangalore, Karnataka	Municipal Services	Birth Certificate	215 	<pointer: 0x000000002c956670>	Bangalore	Karnataka	NA
235	October 20 2015	Bangalore, Karnataka	Police	Traffic Violations	225 	<pointer: 0x000000002cae2df0>	Bangalore	Karnataka	NA
236	October 20 2015	Jaipur, Rajasthan	Transport	Duplicate Driving License	202 	<pointer: 0x000000002cc9ccf0>	Jaipur	Rajasthan	NA
237	October 20 2015	Udaipur, Tripura	Municipal Services	Birth Certificate	159 	<pointer: 0x000000002cda6df0>	Udaipur	Tripura	200
238	October 20 2015	Mumbai, Maharashtra	Municipal Services	Birth Certificate	173 	<pointer: 0x000000002cef3970>	Mumbai	Maharashtra	200
239	October 20 2015	Bangalore, Karnataka	Customs, Excise and Service Tax	Excise Return	259 	<pointer: 0x000000002d063cf0>	Bangalore	Karnataka	1
240	October 20 2015	Abohar, Punjab	Transport	New Domestic Driving License	216 	<pointer: 0x000000002d1492f0>	Abohar	Punjab	500
241	October 20 2015	Bharatpur, Rajasthan	Municipal Services	Birth Certificate	156 	<pointer: 0x000000002d299df0>	Bharatpur	Rajasthan	500
242	October 19 2015	Bangalore, Karnataka	Passport	Police Verification for Passport	366 	<pointer: 0x000000002d4314e0>	Bangalore	Karnataka	3500
243	October 19 2015	Ludhiana, Punjab	Municipal Services	Birth Certificate	225 	<pointer: 0x000000002d5677f0>	Ludhiana	Punjab	12000
244	October 19 2015	Adari, Uttar Pradesh	Transport	Registration of Vehicle	213 	<pointer: 0x000000002d6a7b70>	Adari	Pradesh	4000
245	October 19 2015	New Delhi, Delhi	Others	Others	248 	<pointer: 0x000000002d7feff0>	New	Delhi	15000
246	October 19 2015	New Delhi, Delhi	Municipal Services	Birth Certificate	228 	<pointer: 0x000000002d93f960>	New	Delhi	100
247	October 19 2015	Faizabad, Uttar Pradesh	Income Tax	New PAN Card	213 	<pointer: 0x000000002da921e0>	Faizabad	Pradesh	54
248	October 19 2015	Lucknow, Uttar Pradesh	Municipal Services	Birth Certificate	204 	<pointer: 0x000000002dbe3960>	Lucknow	Pradesh	3500
249	October 19 2015	Dharmapuri, Tamil Nadu	Municipal Services	Birth Certificate	193 	<pointer: 0x000000002dd60760>	Dharmapuri	Nadu	100
250	October 19 2015	Abhayapuri, Assam	Commercial Tax, Sales Tax, VAT	C Form	204 	<pointer: 0x000000002de99060>	Abhayapuri	Assam	2525
251	October 19 2015	Abohar, Punjab	Municipal Services	Birth Certificate	182 	<pointer: 0x000000002dff6370>	Abohar	Punjab	200
252	October 18 2015	Pune, Maharashtra	Municipal Services	Birth Certificate	239 	<pointer: 0x000000002e1479e0>	Pune	Maharashtra	2500
253	October 18 2015	Chennai, Tamil Nadu	Others	Others	244 	<pointer: 0x000000002e21eff0>	Chennai	Nadu	10
254	October 18 2015	Abhayapuri, Assam	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	261 	<pointer: 0x000000002e3f4460>	Abhayapuri	Assam	100
255	October 18 2015	Chennai, Tamil Nadu	Others	Others	229 	<pointer: 0x000000002e516660>	Chennai	Nadu	100
256	October 18 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	264 	<pointer: 0x000000002e67e3e0>	Abhayapuri	Assam	700
257	October 18 2015	Bangalore, Karnataka	Others	Others	286 	<pointer: 0x000000002e7d1ff0>	Bangalore	Karnataka	1000
258	October 18 2015	Pune, Maharashtra	Municipal Services	Birth Certificate	238 	<pointer: 0x000000002e905e60>	Pune	Maharashtra	6000
259	October 18 2015	Ludhiana, Punjab	Municipal Services	Birth Certificate	210 	<pointer: 0x000000002ea8c670>	Ludhiana	Punjab	19
260	October 18 2015	Bangalore, Karnataka	Revenue	Residence Certificate	282 	<pointer: 0x000000002ec01d70>	Bangalore	Karnataka	NA
261	October 17 2015	Barrackpur, West Bengal	Police	Filing FIR	466 	<pointer: 0x000000002ecf74e0>	Barrackpur	Bengal	72015
262	October 17 2015	Adari, Uttar Pradesh	Municipal Services	Birth Certificate	208 	<pointer: 0x000000002ee919e0>	Adari	Pradesh	100
263	October 17 2015	Visakhapatnam, Andhra Pradesh	Education	Obtaining Scholarship	250 	<pointer: 0x000000002ef7b7e0>	Visakhapatnam	Pradesh	NA
264	October 17 2015	Adari, Uttar Pradesh	Commercial Tax, Sales Tax, VAT	C Form	251 	<pointer: 0x000000002f0dc8e0>	Adari	Pradesh	441
265	October 17 2015	Mumbai, Maharashtra	Others	Others	246 	<pointer: 0x000000002f250bf0>	Mumbai	Maharashtra	10000
266	October 17 2015	Adari, Uttar Pradesh	Police	Filing FIR	297 	<pointer: 0x000000002f3716e0>	Adari	Pradesh	25000
267	October 17 2015	Bhuj, Gujarat	Municipal Services	Birth Certificate	233 	<pointer: 0x000000002f4b9170>	Bhuj	Gujarat	4300
268	October 17 2015	New Delhi, Delhi	Income Tax	New PAN Card	244 	<pointer: 0x000000002f63c260>	New	Delhi	15
269	October 17 2015	Mumbai, Maharashtra	Income Tax	New PAN Card	211 	<pointer: 0x000000002f7af870>	Mumbai	Maharashtra	200
270	October 17 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	198 	<pointer: 0x000000002f8ce0f0>	Abhayapuri	Assam	1000
271	October 16 2015	Chennai, Tamil Nadu	Municipal Services	Property Tax	196 	<pointer: 0x000000002f9d4af0>	Chennai	Nadu	NA
272	October 16 2015	Mumbai, Maharashtra	Income Tax	New PAN Card	197 	<pointer: 0x000000002fb913f0>	Mumbai	Maharashtra	2e+06
273	October 16 2015	Kakinada, Andhra Pradesh	Police	Police Clearance Certificate	238 	<pointer: 0x000000002fc86b70>	Kakinada	Pradesh	200
274	October 16 2015	Madurai, Tamil Nadu	Education	School or College Related Activities	216 	<pointer: 0x000000002fe08660>	Madurai	Nadu	NA
275	October 16 2015	Adilabad, Telangana	Municipal Services	Birth Certificate	217 	<pointer: 0x000000002ff6dc60>	Adilabad	Telangana	1000
276	October 16 2015	Kolkata, West Bengal	Municipal Services	Birth Certificate	179 	<pointer: 0x00000000300d14f0>	Kolkata	Bengal	5
277	October 15 2015	Howrah, West Bengal	Police	Police Verification for Passport	274 	<pointer: 0x00000000301d6070>	Howrah	Bengal	500
278	October 15 2015	Kolkata, West Bengal	Municipal Services	Registration of Land	249 	<pointer: 0x0000000030349e70>	Kolkata	Bengal	NA
279	October 15 2015	Kota, Rajasthan	Municipal Services	Birth Certificate	238 	<pointer: 0x0000000030485470>	Kota	Rajasthan	100
280	October 15 2015	Bangalore, Karnataka	Food, Civil Supplies and Consumer Affairs	New Gas Connection	304 	<pointer: 0x000000003060f9f0>	Bangalore	Karnataka	53004800
281	October 15 2015	Mumbai, Maharashtra	Commercial Tax, Sales Tax, VAT	C Form	237 	<pointer: 0x000000003076da70>	Mumbai	Maharashtra	5
282	October 15 2015	Bangalore, Karnataka	Transport	General RTO related	384 	<pointer: 0x00000000308a5c60>	Bangalore	Karnataka	NA
283	October 14 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	234 	<pointer: 0x00000000309a5070>	Abhayapuri	Assam	300
284	October 14 2015	Pune, Maharashtra	Passport	Police Verification for Passport	434 	<pointer: 0x0000000030b46270>	Pune	Maharashtra	NA
285	October 14 2015	Kurnool, Andhra Pradesh	Police	Traffic Violations	274 	<pointer: 0x0000000030cce0e0>	Kurnool	Pradesh	20
286	October 14 2015	Siliguri, West Bengal	Municipal Services	Birth Certificate	241 	<pointer: 0x0000000030ddf4e0>	Siliguri	Bengal	20
287	October 14 2015	Pithoragarh, Uttarakhand	Customs, Excise and Service Tax	Customs Check and Clearance	260 	<pointer: 0x0000000030fbcbe0>	Pithoragarh	Uttarakhand	10
288	October 14 2015	Tumkur, Karnataka	Stamps and Registration	Marriage Certificate	348 	<pointer: 0x00000000310b2370>	Tumkur	Karnataka	20000
289	October 14 2015	Hubli, Karnataka	Municipal Services	Birth Certificate	203 	<pointer: 0x0000000031209060>	Hubli	Karnataka	10
290	October 14 2015	Jalandhar, Punjab	Transport	New Domestic Driving License	286 	<pointer: 0x000000003135ed60>	Jalandhar	Punjab	2000
291	October 14 2015	Abohar, Punjab	Municipal Services	Birth Certificate	222 	<pointer: 0x000000003146e860>	Abohar	Punjab	6000
292	October 14 2015	Kota, Rajasthan	Municipal Services	Birth Certificate	190 	<pointer: 0x00000000315faef0>	Kota	Rajasthan	11
293	October 14 2015	Banda, Uttar Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	221 	<pointer: 0x0000000031747df0>	Banda	Pradesh	200
294	October 14 2015	Bharatpur, Rajasthan	Others	Others	182 	<pointer: 0x0000000031872f70>	Bharatpur	Rajasthan	123
295	October 14 2015	Salem, Tamil Nadu	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	163 	<pointer: 0x00000000319efce0>	Salem	Nadu	10
296	October 14 2015	Nagaon, Assam	Municipal Services	Birth Certificate	138 	<pointer: 0x0000000031b5b460>	Nagaon	Assam	500
297	October 14 2015	Nainital, Uttarakhand	Police	Traffic Violations	166 	<pointer: 0x0000000031cc40f0>	Nainital	Uttarakhand	200
298	October 14 2015	Adilabad, Telangana	Transport	Duplicate Registration Certificate	174 	<pointer: 0x0000000031d892e0>	Adilabad	Telangana	5000
299	October 14 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	121 	<pointer: 0x0000000031f54270>	Abhayapuri	Assam	10
300	October 14 2015	Baran, Rajasthan	Municipal Services	Birth Certificate	68 	<pointer: 0x000000003207f360>	Baran	Rajasthan	250000
301	October 14 2015	Bangalore, Karnataka	Municipal Services	Birth Certificate	149 	<pointer: 0x00000000321b9870>	Bangalore	Karnataka	30000
302	October 14 2015	Bijnaur, Uttar Pradesh	Others	Others	126 	<pointer: 0x0000000032310ee0>	Bijnaur	Pradesh	3000
303	October 14 2015	Bilaspur, Chhattisgarh	Others	Others	131 	<pointer: 0x0000000032461770>	Bilaspur	Chhattisgarh	100
304	October 14 2015	Ghaziabad, Uttar Pradesh	Commercial Tax, Sales Tax, VAT	C Form	134 	<pointer: 0x000000003257ffe0>	Ghaziabad	Pradesh	10
305	October 14 2015	Bagaha, Bihar	Municipal Services	Birth Certificate	87 	<pointer: 0x00000000326dfa60>	Bagaha	Bihar	70000
306	October 14 2015	Abohar, Punjab	Municipal Services	Birth Certificate	136 	<pointer: 0x000000003284fc60>	Abohar	Punjab	500
307	October 14 2015	Varanasi, Uttar Pradesh	Municipal Services	Birth Certificate	117 	<pointer: 0x00000000329f7f60>	Varanasi	Pradesh	10
308	October 13 2015	Bangalore, Karnataka	Public Works Department	Public Works	214 	<pointer: 0x0000000032af5af0>	Bangalore	Karnataka	NA
309	October 13 2015	Bangalore, Karnataka	Police	Traffic Violations	241 	<pointer: 0x0000000032c6bdf0>	Bangalore	Karnataka	5000
310	October 13 2015	Chennai, Tamil Nadu	Municipal Services	Birth Certificate	215 	<pointer: 0x0000000032df51e0>	Chennai	Nadu	20
311	October 13 2015	Abhayapuri, Assam	Customs, Excise and Service Tax	Customs Check and Clearance	228 	<pointer: 0x0000000032efc1e0>	Abhayapuri	Assam	9999
312	October 13 2015	Hyderabad, Telangana	Municipal Services	Birth Certificate	205 	<pointer: 0x000000003304d5f0>	Hyderabad	Telangana	10
313	October 13 2015	Achhnera, Uttar Pradesh	Municipal Services	Birth Certificate	225 	<pointer: 0x00000000331aecf0>	Achhnera	Pradesh	555
314	October 13 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	188 	<pointer: 0x00000000332e02e0>	Abhayapuri	Assam	20000
315	October 13 2015	Adilabad, Telangana	Municipal Services	Birth Certificate	190 	<pointer: 0x0000000033466060>	Adilabad	Telangana	12
316	October 13 2015	New Delhi, Delhi	Commercial Tax, Sales Tax, VAT	C Form	219 	<pointer: 0x00000000335a7260>	New	Delhi	10
317	October 13 2015	Bangalore, Karnataka	Stamps and Registration	Registration of Property	284 	<pointer: 0x00000000336f6870>	Bangalore	Karnataka	22222
318	October 13 2015	Chandigarh, Chandigarh	Income Tax	New PAN Card	187 	<pointer: 0x00000000338b9750>	Chandigarh	Chandigarh	10
319	October 13 2015	Alipurduar, West Bengal	Stamps and Registration	Registration of Property	218 	<pointer: 0x00000000339aab60>	Alipurduar	Bengal	565
320	October 13 2015	Abohar, Punjab	Municipal Services	Birth Certificate	146 	<pointer: 0x0000000033abfbe0>	Abohar	Punjab	30
321	October 13 2015	Guntur, Andhra Pradesh	Others	Others	166 	<pointer: 0x0000000033c7a3e0>	Guntur	Pradesh	10000
322	October 13 2015	Srivilliputhur, Tamil Nadu	Municipal Services	Birth Certificate	142 	<pointer: 0x0000000033d86570>	Srivilliputhur	Nadu	10000
323	October 13 2015	Chennai, Tamil Nadu	Municipal Services	Birth Certificate	117 	<pointer: 0x0000000033ea3be0>	Chennai	Nadu	100
324	October 13 2015	New Delhi, Delhi	Others	Others	185 	<pointer: 0x000000003401b7e0>	New	Delhi	1000
325	October 13 2015	Lucknow, Uttar Pradesh	Others	Others	166 	<pointer: 0x0000000034154660>	Lucknow	Pradesh	1000
326	October 13 2015	Abhayapuri, Assam	Police	Traffic Violations	159 	<pointer: 0x00000000342e7870>	Abhayapuri	Assam	20
327	October 13 2015	Bangalore, Karnataka	Police	Filing FIR	223 	<pointer: 0x0000000034461be0>	Bangalore	Karnataka	3000
328	October 13 2015	Raipur, Chhattisgarh	Others	Others	171 	<pointer: 0x000000003454e570>	Raipur	Chhattisgarh	50
329	October 13 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	166 	<pointer: 0x00000000346e1fe0>	Abhayapuri	Assam	100
330	October 13 2015	New Delhi, Delhi	Municipal Services	Birth Certificate	79 	<pointer: 0x0000000034826f60>	New	Delhi	100
331	October 13 2015	Coimbatore, Tamil Nadu	Others	Others	108 	<pointer: 0x000000003496dc60>	Coimbatore	Nadu	1000
332	October 13 2015	Hathras, Uttar Pradesh	Commercial Tax, Sales Tax, VAT	C Form	118 	<pointer: 0x0000000034a997e0>	Hathras	Pradesh	12
333	October 13 2015	Bangalore, Karnataka	Customs, Excise and Service Tax	Customs Check and Clearance	205 	<pointer: 0x0000000034c2d1f0>	Bangalore	Karnataka	800
334	October 13 2015	Calicut, Kerala	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	131 	<pointer: 0x0000000034db5be0>	Calicut	Kerala	500
335	October 13 2015	Banka, Bihar	Income Tax	New PAN Card	138 	<pointer: 0x0000000034ea9e70>	Banka	Bihar	210
336	October 13 2015	New Delhi, Delhi	Police	Police Verification for Passport	137 	<pointer: 0x000000003505fc60>	New	Delhi	400
337	October 13 2015	Kolhapur, Maharashtra	Others	Others	93 	<pointer: 0x00000000351543e0>	Kolhapur	Maharashtra	100
338	October 13 2015	Bangalore, Karnataka	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	139 	<pointer: 0x00000000352c5d60>	Bangalore	Karnataka	1000
339	October 13 2015	Bangalore, Karnataka	Customs, Excise and Service Tax	Customs Check and Clearance	153 	<pointer: 0x000000003542cd70>	Bangalore	Karnataka	500
340	October 13 2015	New Delhi, Delhi	Stamps and Registration	Marriage Certificate	158 	<pointer: 0x0000000035550ae0>	New	Delhi	400
341	October 13 2015	Hyderabad, Telangana	Municipal Services	Birth Certificate	98 	<pointer: 0x00000000356c8b60>	Hyderabad	Telangana	2000
342	October 13 2015	New Delhi, Delhi	Police	Traffic Violations	142 	<pointer: 0x0000000035825760>	New	Delhi	200
343	October 13 2015	New Delhi, Delhi	Police	Police Verification for Passport	130 	<pointer: 0x00000000359804f0>	New	Delhi	500
344	October 13 2015	New Delhi, Delhi	Police	Police Verification for Passport	87 	<pointer: 0x0000000035b109f0>	New	Delhi	500
345	October 13 2015	Bangalore, Karnataka	Transport	Duplicate Registration Certificate	180 	<pointer: 0x0000000035bfbdf0>	Bangalore	Karnataka	500
346	October 13 2015	New Delhi, Delhi	Customs, Excise and Service Tax	Customs Check and Clearance	146 	<pointer: 0x0000000035d8fc60>	New	Delhi	1500
347	October 13 2015	Bangalore, Karnataka	Police	Filing FIR	105 	<pointer: 0x0000000035eff6f0>	Bangalore	Karnataka	500
348	October 13 2015	Aizawl, Mizoram	Commercial Tax, Sales Tax, VAT	C Form	122 	<pointer: 0x0000000036083ae0>	Aizawl	Mizoram	1000
349	October 13 2015	Bangalore, Karnataka	Customs, Excise and Service Tax	Customs Check and Clearance	149 	<pointer: 0x0000000036178760>	Bangalore	Karnataka	15000
350	October 13 2015	Adoni, Andhra Pradesh	Police	Traffic Violations	88 	<pointer: 0x000000003630ff60>	Adoni	Pradesh	77
351	October 13 2015	Bangalore, Karnataka	Stamps and Registration	Registration of Property	174 	<pointer: 0x000000003640c1f0>	Bangalore	Karnataka	1e+05
352	October 13 2015	Bangalore, Karnataka	Municipal Services	Birth Certificate	74 	<pointer: 0x00000000365e3860>	Bangalore	Karnataka	500
353	October 13 2015	Bangalore, Karnataka	Transport	Duplicate Registration Certificate	161 	<pointer: 0x00000000366f8570>	Bangalore	Karnataka	600
354	October 13 2015	Bangalore, Karnataka	Transport	Duplicate Registration Certificate	150 	<pointer: 0x0000000036824ed0>	Bangalore	Karnataka	800
355	October 13 2015	Jaipur, Rajasthan	Municipal Services	Birth Certificate	155 	<pointer: 0x0000000036997f70>	Jaipur	Rajasthan	500
356	October 12 2015	Pune, Maharashtra	Police	Traffic Violations	163 	<pointer: 0x0000000036ada670>	Pune	Maharashtra	700
357	October 12 2015	Guwahati, Assam	Stamps and Registration	Marriage Certificate	190 	<pointer: 0x0000000036bda8f0>	Guwahati	Assam	500
358	October 12 2015	New Delhi, Delhi	Police	Police Verification for Passport	148 	<pointer: 0x0000000036d2f560>	New	Delhi	500
359	October 12 2015	New Delhi, Delhi	Transport	New Domestic Driving License	175 	<pointer: 0x0000000036eab170>	New	Delhi	600
360	October 12 2015	New Delhi, Delhi	Customs, Excise and Service Tax	Customs Check and Clearance	164 	<pointer: 0x0000000036fad060>	New	Delhi	1500
361	October 12 2015	New Delhi, Delhi	Transport	New Domestic Driving License	194 	<pointer: 0x0000000037150f60>	New	Delhi	500
362	October 12 2015	New Delhi, Delhi	Customs, Excise and Service Tax	Customs Check and Clearance	145 	<pointer: 0x000000003729ade0>	New	Delhi	1000
363	October 12 2015	New Delhi, Delhi	Police	Police Verification for Passport	174 	<pointer: 0x00000000374194e0>	New	Delhi	500
364	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	161 	<pointer: 0x0000000037520270>	Indore	Pradesh	2400
365	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	159 	<pointer: 0x0000000037654ce0>	Indore	Pradesh	2610
366	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	143 	<pointer: 0x00000000378216d0>	Indore	Pradesh	3610
367	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	119 	<pointer: 0x000000003792e570>	Indore	Pradesh	800
368	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	134 	<pointer: 0x0000000037a02d70>	Indore	Pradesh	1200
369	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	114 	<pointer: 0x0000000037bef1f0>	Indore	Pradesh	3200
370	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	119 	<pointer: 0x0000000037d197e0>	Indore	Pradesh	4000
371	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	134 	<pointer: 0x0000000037ea7470>	Indore	Pradesh	15000
372	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	128 	<pointer: 0x0000000037ffcaf0>	Indore	Pradesh	3000
373	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	114 	<pointer: 0x0000000038129b60>	Indore	Pradesh	2500
374	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	96 	<pointer: 0x0000000038261fe0>	Indore	Pradesh	2000
375	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	71 	<pointer: 0x00000000383fe5e0>	Indore	Pradesh	2500
376	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	69 	<pointer: 0x00000000384e4e70>	Indore	Pradesh	1400
377	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	63 	<pointer: 0x0000000038686e70>	Indore	Pradesh	800
378	October 12 2015	Agra, Uttar Pradesh	Municipal Services	Birth Certificate	106 	<pointer: 0x00000000387a6e70>	Agra	Pradesh	2000
379	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	68 	<pointer: 0x00000000388efcf0>	Indore	Pradesh	900
380	October 12 2015	Agra, Uttar Pradesh	Municipal Services	Birth Certificate	112 	<pointer: 0x0000000038a0e570>	Agra	Pradesh	1000
381	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	55 	<pointer: 0x0000000038b9bee0>	Indore	Pradesh	500
382	October 12 2015	Agra, Uttar Pradesh	Municipal Services	Birth Certificate	91 	<pointer: 0x0000000038cb0b60>	Agra	Pradesh	1800
383	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	47 	<pointer: 0x0000000038e6d2f0>	Indore	Pradesh	610
384	October 12 2015	Agra, Uttar Pradesh	Municipal Services	Birth Certificate	72 	<pointer: 0x0000000038f644f0>	Agra	Pradesh	2400
385	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	45 	<pointer: 0x00000000390bee70>	Indore	Pradesh	1500
386	October 12 2015	Agra, Uttar Pradesh	Municipal Services	Birth Certificate	68 	<pointer: 0x0000000039213660>	Agra	Pradesh	2610
387	October 12 2015	Indore, Madhya Pradesh	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	40 	<pointer: 0x0000000039348df0>	Indore	Pradesh	1200
388	October 12 2015	Agra, Uttar Pradesh	Municipal Services	Birth Certificate	55 	<pointer: 0x00000000394a47e0>	Agra	Pradesh	3610
